section_id,section_level,section_title,section_text,word_count,code_block_count,link_count
1,h1,Beautiful Soup Documentation," Beautiful Soup is a Python library for pulling data out of HTML and XML files. It works with your favorite parser to provide idiomatic ways of navigating, searching, and modifying the parse tree. It commonly saves programmers hours or days of work. These instructions illustrate all major features of Beautiful Soup 4, with examples. I show you what the library is good for, how it works, how to use it, how to make it do what you want, and what to do when it violates your expectations. This docume...",308,0,14
2,h2,Getting help,"If you have questions about Beautiful Soup, or run into problems, send mail to the discussion group . If your problem involves parsing an HTML document, be sure to mention what the diagnose() function says about that document. When reporting an error in this documentation, please mention which translation you're reading. API documentation  This document is written like an instruction manual, but you can also read traditional API documentation generated from the Beautiful Soup source code. If you...",96,0,4
3,h3,API documentation,"This document is written like an instruction manual, but you can also read traditional API documentation generated from the Beautiful Soup source code. If you want details about Beautiful Soup's internals, or a feature not covered in this document, try the API documentation.",43,0,1
4,h1,Quick Start,"Here's an HTML document I'll be using as an example throughout this document. It's part of a story from Alice in Wonderland : html_doc = """"""<html><head><title>The Dormouse's story</title></head> <body> <p class=""title""><b>The Dormouse's story</b></p> <p class=""story"">Once upon a time there were three little sisters; and their names were <a href=""http://example.com/elsie"" class=""sister"" id=""link1"">Elsie</a>, <a href=""http://example.com/lacie"" class=""sister"" id=""link2"">Lacie</a> and <a href=""http:...",422,6,0
5,h1,Installing Beautiful Soup,"If you're using a recent version of Debian or Ubuntu Linux, you can install Beautiful Soup with the system package manager: $ apt - get install python3 - bs4 Beautiful Soup 4 is published through PyPi, so if you can't install it with the system packager, you can install it with easy_install or pip . The package name is beautifulsoup4 . Make sure you use the right version of pip or easy_install for your Python version (these may be named pip3 and easy_install3 respectively). $ easy_install beauti...",430,18,6
6,h2,Installing a parser,"Beautiful Soup supports the HTML parser included in Python's standard library, but it also supports a number of third-party Python parsers. One is the lxml parser . Depending on your setup, you might install lxml with one of these commands: $ apt - get install python - lxml $ easy_install lxml $ pip install lxml Another alternative is the pure-Python html5lib parser , which parses HTML the way a web browser does. Depending on your setup, you might install html5lib with one of these commands: $ a...",215,5,3
7,h1,Making the soup,"To parse a document, pass it into the BeautifulSoup constructor. You can pass in a string or an open filehandle: from bs4 import BeautifulSoup with open ( ""index.html"" ) as fp : soup = BeautifulSoup ( fp , 'html.parser' ) soup = BeautifulSoup ( ""<html>a web page</html>"" , 'html.parser' ) First, the document is converted to Unicode, and HTML entities are converted to Unicode characters: print ( BeautifulSoup ( ""<html><head></head><body>Sacr&eacute; bleu!</body></html>"" , ""html.parser"" )) # <html>...",108,3,1
8,h1,Kinds of objects,"Beautiful Soup transforms a complex HTML document into a complex tree of Python objects. But you'll only ever have to deal with about four kinds of objects: Tag , NavigableString , BeautifulSoup , and Comment . These objects represent the HTML elements that comprise the page. class Tag  A Tag object corresponds to an XML or HTML tag in the original document. soup = BeautifulSoup ( '<b class=""boldest"">Extremely bold</b>' , 'html.parser' ) tag = soup . b type ( tag ) # <class 'bs4.element.Tag'> Ta...",1513,79,59
9,h2,Multi-valued attributes,"HTML 4 defines a few attributes that can have multiple values. HTML 5 removes a couple of them, but defines a few more. The most common multi-valued attribute is class (that is, a tag can have more than one CSS class). Others include rel , rev , accept-charset , headers , and accesskey . By default, Beautiful Soup stores the value(s) of a multi-valued attribute as a list: css_soup = BeautifulSoup ( '<p class=""body""></p>' , 'html.parser' ) css_soup . p [ 'class' ] # ['body'] css_soup = BeautifulS...",414,18,0
10,h2,Special strings,"Tag , NavigableString , and BeautifulSoup cover almost everything you'll see in an HTML or XML file, but there are a few leftover bits. The main one you'll probably encounter is the Comment . class Comment markup = ""<b><!--Hey, buddy. Want to buy a used parser?--></b>"" soup = BeautifulSoup ( markup , 'html.parser' ) comment = soup . b . string type ( comment ) # <class 'bs4.element.Comment'> The Comment object is just a special type of NavigableString : comment # 'Hey, buddy. Want to buy a used ...",352,24,31
11,h3,For HTML documents,"Beautiful Soup defines a few NavigableString subclasses to contain strings found inside specific HTML tags. This makes it easier to pick out the main body of the page, by ignoring strings that probably represent programming directives found within the page. (These classes are new in Beautiful Soup 4.9.0, and the html5lib parser doesn't use them.) class Stylesheet A NavigableString subclass that represents embedded CSS stylesheets; that is, any strings found inside a <style> tag during document p...",120,7,7
12,h3,For XML documents,"Beautiful Soup defines some NavigableString classes for holding special types of strings that can be found in XML documents. Like Comment , these classes are subclasses of NavigableString that add something extra to the string on output. class Declaration A NavigableString subclass representing the declaration at the beginning of an XML document. class Doctype A NavigableString subclass representing the document type declaration which may be found near the beginning of an XML document. class CDa...",99,7,15
13,h1,Navigating the tree,"Here's the ""Three sisters"" HTML document again: html_doc = """""" <html><head><title>The Dormouse's story</title></head> <body> <p class=""title""><b>The Dormouse's story</b></p> <p class=""story"">Once upon a time there were three little sisters; and their names were <a href=""http://example.com/elsie"" class=""sister"" id=""link1"">Elsie</a>, <a href=""http://example.com/lacie"" class=""sister"" id=""link2"">Lacie</a> and <a href=""http://example.com/tillie"" class=""sister"" id=""link3"">Tillie</a>; and they lived at...",2088,104,20
